rank,rsId,lane,exc0,abs0,base,peakPhase,scale,srcW,srcH,bakeW,bakeH,srcGridExcessPct,material,severe
295,0x06005E04,props,0.5171,3.057,5.911,0,4,256,256,1024,1024,51.09,1,1
296,0x06003FD3,dungeons,0.5155,2.331,4.522,0,4,128,256,512,1024,56.99,1,0
297,0x06003E1E,dungeons,0.5142,1.274,2.478,0,4,256,256,1024,1024,89.95,0,0
298,0x06003999,dungeons,0.5139,3.63,7.063,0,4,128,256,512,1024,40.89,1,1
299,0x0600399F,doors,0.5133,2.948,5.744,0,4,128,128,512,512,32.64,1,1
300,0x060037FA,scenery,0.5131,3.735,7.279,0,2,512,512,1024,1024,26.85,1,1
301,0x0600398D,dungeons,0.5123,4.771,9.313,0,4,128,128,512,512,30.79,1,1
302,0x0600481C,dungeons,0.5108,2.099,4.11,0,4,256,256,1024,1024,31.55,1,0
303,0x06003904,dungeons,0.5106,2.201,4.31,0,4,128,256,512,1024,44.94,1,0
304,0x060069DF,creatures,0.5098,0.9,1.765,0,4,256,256,1024,1024,43.92,0,0
305,0x06005A41,creatures,0.5085,1.141,2.244,0,4,128,128,512,512,8.72,0,0
306,0x06005D6F,props,0.5085,3.784,7.441,0,4,256,256,1024,1024,40.81,1,1
307,0x0600390F,dungeons,0.5047,2.101,4.164,0,4,128,128,512,512,53.85,1,0
308,0x060048BD,scenery,0.5021,4.347,8.658,0,4,256,256,1024,1024,26.6,1,1
309,0x06003EEB,dungeons,0.5021,1.528,3.043,0,4,128,256,512,1024,51.06,1,0
310,0x06003935,doors,0.501,2.253,4.496,15,4,128,64,512,256,50.33,1,0
311,0x06004FF3,doors,0.4972,2.559,5.148,0,4,64,32,256,128,49.34,1,0
312,0x06005A25,props,0.4971,2.733,5.497,0,4,256,512,1024,2048,32.87,1,0
313,0x0600683C,creatures,0.4957,3.653,7.369,0,4,256,256,1024,1024,48.48,1,0
314,0x06004085,dungeons,0.4956,4.157,8.387,0,4,128,256,512,1024,44.42,1,0
315,0x06004140,dungeons,0.4945,7.724,15.62,0,4,128,256,512,1024,22.07,1,0
316,0x0600656B,creatures,0.4942,1.426,2.885,0,4,256,256,1024,1024,92.92,0,0
317,0x060040DA,scenery,0.4941,2.92,5.91,0,4,128,128,512,512,42.04,1,0
318,0x060037CD,creatures,0.491,2.509,5.11,0,4,256,256,1024,1024,55.15,1,0
319,0x06003991,dungeons,0.4902,3.141,6.409,0,4,128,256,512,1024,40.49,1,0
320,0x06004701,props,0.49,3.373,6.884,0,4,128,128,512,512,40.14,1,0
321,0x06003B0B,dungeons,0.4898,6.723,13.726,0,4,128,256,512,1024,29.62,1,0
322,0x06007372,doors,0.4885,0.902,1.847,0,4,256,256,1024,1024,50.98,0,0
323,0x060049E6,doors,0.4885,3.766,7.709,0,4,128,128,512,512,33.73,1,0
324,0x060069D1,dungeons,0.4884,3.054,6.253,0,4,128,128,512,512,40.88,1,0
325,0x060065EB,props,0.4883,2.068,4.234,0,4,64,128,256,512,37.3,1,0
326,0x06005D5A,props,0.4863,1.445,2.972,0,4,256,256,1024,1024,49.87,0,0
327,0x06003F12,dungeons,0.486,3.17,6.522,0,4,128,128,512,512,39.11,1,0
328,0x0600453F,scenery,0.4858,1.384,2.848,0,4,256,256,1024,1024,58.93,0,0
329,0x06003989,dungeons,0.4851,2.931,6.043,0,4,128,128,512,512,45.86,1,0
330,0x0600463A,props,0.485,2.668,5.5,0,4,128,128,512,512,51.41,1,0
331,0x060052B3,props,0.4838,2.023,4.181,0,4,256,256,1024,1024,37.81,1,0
332,0x06006BDA,props,0.4838,1.27,2.625,0,4,128,128,512,512,28.12,0,0
333,0x0600610A,creatures,0.4827,1.398,2.897,0,4,256,256,1024,1024,53.09,0,0
334,0x0600401E,dungeons,0.482,7.354,15.259,0,4,128,256,512,1024,29.67,1,0
335,0x06003798,scenery,0.4819,6.971,14.465,4,4,64,64,256,256,10.87,1,0
336,0x06003EDA,dungeons,0.4781,3.048,6.375,0,4,128,256,512,1024,40.0,1,0
337,0x060069D9,creatures,0.4781,1.091,2.282,0,4,256,256,1024,1024,36.22,0,0
338,0x06006C76,props,0.4767,0.899,1.886,13,4,256,512,1024,2048,19.62,0,0
339,0x06003AEB,dungeons,0.4743,2.496,5.264,0,4,128,128,512,512,39.26,1,0
340,0x06003F89,dungeons,0.4736,7.723,16.305,0,4,128,256,512,1024,23.65,1,0
341,0x06003C7D,creatures,0.4732,1.916,4.049,0,4,128,128,512,512,46.04,1,0
342,0x06005D70,props,0.4701,2.521,5.363,0,4,256,256,1024,1024,45.32,1,0
343,0x060039B1,dungeons,0.4692,0.887,1.891,0,4,64,64,256,256,110.65,0,0
344,0x06004170,dungeons,0.469,2.689,5.733,0,4,128,256,512,1024,39.3,1,0
345,0x060040C4,dungeons,0.4688,3.899,8.317,0,4,128,256,512,1024,30.77,1,0
346,0x06005608,creatures,0.4676,4.994,10.68,0,4,128,64,512,256,42.82,1,0
347,0x06003D49,dungeons,0.4672,3.556,7.612,0,4,128,128,512,512,36.89,1,0
348,0x0600417D,scenery,0.467,5.537,11.856,0,4,128,128,512,512,33.87,1,0
349,0x06003E84,dungeons,0.4632,7.641,16.494,0,4,128,256,512,1024,23.81,1,0
350,0x06004175,dungeons,0.4632,2.16,4.663,0,4,128,128,512,512,34.78,1,0
351,0x06003D8F,dungeons,0.4627,2.314,5.002,0,4,128,256,512,1024,37.63,1,0
352,0x06003E48,dungeons,0.4627,2.808,6.068,0,4,128,128,512,512,42.2,1,0
353,0x06004045,dungeons,0.462,2.822,6.109,0,4,128,128,512,512,39.5,1,0
354,0x0600425A,dungeons,0.4614,5.914,12.818,0,4,128,128,512,512,32.7,1,0
355,0x06003BD5,dungeons,0.4608,3.038,6.592,0,4,128,256,512,1024,43.94,1,0
356,0x06003E17,dungeons,0.4605,3.604,7.826,0,4,128,256,512,1024,43.39,1,0
357,0x0600403B,creatures,0.4601,0.361,0.786,0,4,128,128,512,512,196.66,0,0
358,0x06003ED5,dungeons,0.4596,1.761,3.832,0,4,128,128,512,512,40.72,1,0
359,0x06004705,dungeons,0.4596,2.287,4.976,0,4,128,128,512,512,38.5,1,0
360,0x0600648F,props,0.4586,1.126,2.455,0,4,512,512,2048,2048,42.08,0,0
361,0x060037A1,scenery,0.4585,5.987,13.059,0,2,512,512,1024,1024,28.06,1,0
362,0x060048A6,scenery,0.458,4.707,10.277,0,4,256,256,1024,1024,29.1,1,0
363,0x060040C8,dungeons,0.4567,3.522,7.711,0,4,128,256,512,1024,25.14,1,0
364,0x060040CA,scenery,0.4542,4.861,10.703,0,4,256,256,1024,1024,31.81,1,0
365,0x0600507F,doors,0.4535,3.054,6.733,0,4,64,128,256,512,30.71,1,0
366,0x060047C2,props,0.4535,2.353,5.189,0,4,128,64,512,256,6.41,1,0
367,0x06003CAC,scenery,0.4534,3.959,8.732,0,2,256,512,512,1024,18.72,1,0
368,0x060047DC,dungeons,0.453,3.652,8.062,0,4,256,256,1024,1024,28.96,1,0
369,0x06005D74,props,0.4527,3.709,8.194,0,4,256,256,1024,1024,39.83,1,0
370,0x06003F9C,dungeons,0.4522,4.479,9.906,0,4,256,256,1024,1024,34.92,1,0
371,0x06003CA8,dungeons,0.4511,5.394,11.958,0,4,512,512,2048,2048,36.02,1,0
372,0x0600683A,creatures,0.4494,4.286,9.537,0,4,256,256,1024,1024,48.41,1,0
373,0x060043F7,dungeons,0.4491,1.07,2.382,0,4,512,512,2048,2048,43.99,0,0
374,0x0600390B,dungeons,0.449,2.98,6.637,0,4,128,128,512,512,32.44,1,0
375,0x060052B1,props,0.4488,4.078,9.085,0,4,256,256,1024,1024,25.76,1,0
376,0x0600604E,scenery,0.4483,4.08,9.101,0,4,128,128,512,512,33.25,1,0
377,0x06004180,scenery,0.4482,2.911,6.495,0,4,128,128,512,512,34.71,1,0
378,0x06003D93,dungeons,0.4481,3.527,7.871,0,4,128,128,512,512,36.44,1,0
379,0x06005648,creatures,0.4478,4.637,10.354,4,4,64,128,256,512,27.43,1,0
380,0x060042BE,scenery,0.4477,9.073,20.266,0,4,128,128,512,512,13.04,1,0
381,0x0600407D,scenery,0.4471,3.086,6.902,0,4,128,128,512,512,33.84,1,0
382,0x06003E46,dungeons,0.4465,4.201,9.408,0,4,128,128,512,512,25.7,1,0
383,0x06004425,dungeons,0.4461,9.349,20.958,0,4,64,64,256,256,33.51,1,0
384,0x06003FE3,dungeons,0.4457,1.485,3.333,0,4,128,128,512,512,55.68,0,0
385,0x060039B5,dungeons,0.4454,5.293,11.884,0,4,64,128,256,512,37.85,1,0
386,0x06003ADA,dungeons,0.4449,2.05,4.608,0,4,128,128,512,512,39.84,1,0
387,0x06003B07,dungeons,0.4446,6.002,13.5,0,4,256,256,1024,1024,28.63,1,0
388,0x06003DA7,dungeons,0.4438,1.434,3.231,0,4,128,128,512,512,46.56,0,0
389,0x060050F4,props,0.443,8.722,19.69,2,4,32,64,128,256,-13.46,1,0
390,0x060047ED,scenery,0.4428,3.781,8.539,8,4,128,128,512,512,-1.1,1,0
391,0x060039B9,dungeons,0.4428,1.091,2.464,0,4,128,128,512,512,45.29,0,0
392,0x06003FC0,dungeons,0.4393,2.84,6.465,0,4,128,256,512,1024,32.46,1,0
393,0x06006B9B,scenery,0.4382,9.252,21.116,0,2,256,512,512,1024,6.97,1,0
394,0x06003D09,props,0.438,4.903,11.193,8,4,64,64,256,256,15.33,1,0
395,0x0600400A,doors,0.4366,5.083,11.642,0,4,128,256,512,1024,33.22,1,0
396,0x06003C9F,dungeons,0.4355,4.621,10.611,0,4,512,512,2048,2048,38.71,1,0
397,0x060038A4,props,0.4349,1.458,3.352,0,4,128,256,512,1024,41.73,0,0
398,0x06003EF6,dungeons,0.4344,2.813,6.475,0,4,128,128,512,512,45.75,1,0
399,0x0600610C,creatures,0.433,1.064,2.457,0,4,256,256,1024,1024,69.44,0,0
400,0x06006F86,scenery,0.4325,1.993,4.607,0,2,512,512,1024,1024,17.32,1,0
401,0x06003CAA,dungeons,0.4325,2.342,5.416,15,4,128,128,512,512,55.98,1,0
402,0x06004770,props,0.432,2.316,5.36,0,4,128,64,512,256,10.32,1,0
403,0x060039C9,props,0.4311,3.875,8.989,0,4,128,128,512,512,38.32,1,0
404,0x06005416,props,0.4308,2.474,5.743,4,4,128,64,512,256,15.25,1,0
405,0x06005DA2,creatures,0.4307,4.653,10.804,0,4,256,128,1024,512,29.49,1,0
406,0x06003B1E,dungeons,0.4302,2.494,5.798,0,4,128,256,512,1024,46.85,1,0
407,0x060039BD,dungeons,0.4293,2.015,4.693,0,4,128,128,512,512,52.64,1,0
408,0x06003D11,dungeons,0.4293,1.591,3.707,0,4,256,256,1024,1024,38.77,1,0
409,0x060038A8,dungeons,0.4287,1.737,4.052,0,4,128,128,512,512,32.68,1,0
410,0x06003981,dungeons,0.4283,0.81,1.892,0,4,128,128,512,512,89.09,0,0
411,0x06003939,dungeons,0.4282,1.602,3.74,0,4,128,128,512,512,41.66,1,0
412,0x06005A0D,creatures,0.428,1.562,3.648,0,4,512,512,2048,2048,71.73,1,0
413,0x06003C2D,scenery,0.428,2.54,5.935,0,2,256,512,512,1024,53.51,1,0
414,0x060053EA,props,0.4277,3.265,7.634,0,4,32,32,128,128,16.48,1,0
415,0x06004014,doors,0.4252,1.557,3.661,1,4,128,128,512,512,64.64,1,0
416,0x06004020,dungeons,0.4246,6.116,14.404,0,4,256,256,1024,1024,25.78,1,0
417,0x06003B01,dungeons,0.4245,2.549,6.005,0,4,128,128,512,512,38.74,1,0
418,0x06003ECF,dungeons,0.4238,3.23,7.62,0,4,128,128,512,512,43.77,1,0
419,0x06004066,dungeons,0.4226,1.368,3.237,0,4,128,256,512,1024,40.35,0,0
420,0x06005DAC,props,0.4225,0.807,1.911,0,4,64,64,256,256,113.73,0,0
421,0x060039CD,dungeons,0.422,3.046,7.218,0,4,128,256,512,1024,41.42,1,0
422,0x06003DFF,scenery,0.4216,2.515,5.965,0,4,64,64,256,256,17.39,1,0
423,0x06003E40,dungeons,0.4203,4.246,10.103,0,4,128,128,512,512,30.98,1,0
424,0x060040C6,dungeons,0.4203,3.666,8.724,0,4,128,256,512,1024,31.38,1,0
425,0x060045B6,props,0.4194,4.588,10.939,0,4,128,128,512,512,22.64,1,0
426,0x06003EA6,dungeons,0.4189,2.111,5.039,0,4,128,128,512,512,41.99,1,0
427,0x06003F9A,dungeons,0.4185,3.061,7.315,0,4,128,256,512,1024,36.74,1,0
428,0x06005D63,props,0.4185,3.489,8.337,0,4,128,256,512,1024,52.77,1,0
429,0x06003E56,dungeons,0.4183,3.244,7.756,0,4,128,256,512,1024,41.91,1,0
430,0x0600403C,creatures,0.4183,5.537,13.239,0,4,256,256,1024,1024,23.98,1,0
431,0x060070F7,creatures,0.4182,4.094,9.79,0,4,256,256,1024,1024,26.89,1,0
432,0x06004251,scenery,0.418,4.003,9.578,0,4,64,128,256,512,32.58,1,0
433,0x06003E54,dungeons,0.4177,2.254,5.396,0,4,128,128,512,512,35.55,1,0
434,0x06003C93,scenery,0.4168,0.461,1.107,0,2,256,512,512,1024,64.63,0,0
435,0x06003F6A,creatures,0.4165,1.696,4.071,0,4,128,128,512,512,17.74,1,0
436,0x0600490E,dungeons,0.4163,5.456,13.104,0,4,128,64,512,256,45.6,1,0
437,0x0600413E,props,0.4163,1.303,3.131,0,4,32,64,128,256,13.69,0,0
438,0x06006BC3,scenery,0.4159,3.715,8.932,0,2,512,512,1024,1024,10.34,1,0
439,0x060047D0,props,0.4146,1.918,4.625,4,4,128,64,512,256,11.29,1,0
440,0x06004898,dungeons,0.4143,4.27,10.307,0,4,256,256,1024,1024,34.46,1,0
441,0x060042C4,dungeons,0.4135,4.512,10.912,0,4,128,128,512,512,39.91,1,0
442,0x060069DD,creatures,0.4134,1.048,2.535,0,4,256,256,1024,1024,46.44,0,0
443,0x06003953,dungeons,0.4134,1.18,2.854,0,4,256,512,1024,2048,51.03,0,0
444,0x060048BA,scenery,0.4131,1.896,4.588,0,4,256,256,1024,1024,40.19,1,0
445,0x06006F88,scenery,0.4126,2.858,6.929,0,2,512,512,1024,1024,17.96,1,0
446,0x06003987,dungeons,0.4123,1.33,3.226,0,4,128,128,512,512,51.89,0,0
447,0x060043A6,props,0.4123,10.887,26.407,0,4,32,64,128,256,14.89,1,0
448,0x06003E5F,dungeons,0.412,1.53,3.713,0,4,128,128,512,512,53.48,1,0
449,0x060043AC,creatures,0.4117,8.316,20.2,0,4,64,64,256,256,1.96,1,0
450,0x06003CA3,dungeons,0.4117,5.748,13.962,0,4,512,512,2048,2048,27.2,1,0
451,0x06003FE7,dungeons,0.4114,1.304,3.169,0,4,128,128,512,512,49.49,0,0
452,0x060053AB,props,0.4109,2.157,5.25,4,4,128,64,512,256,14.67,1,0
453,0x06005E39,props,0.4103,8.242,20.088,0,4,256,128,1024,512,9.21,1,0
454,0x0600453D,scenery,0.4097,3.644,8.896,0,4,256,256,1024,1024,31.39,1,0
455,0x06003D99,dungeons,0.4088,2.586,6.327,0,4,128,256,512,1024,31.62,1,0
456,0x06003AF9,dungeons,0.4085,1.75,4.284,0,4,128,128,512,512,57.37,1,0
457,0x060038F6,dungeons,0.406,2.652,6.531,0,4,128,128,512,512,35.12,1,0
458,0x0600437E,dungeons,0.4056,3.436,8.472,0,4,64,32,256,128,22.58,1,0
459,0x06005FE3,creatures,0.4055,1.061,2.617,0,4,256,256,1024,1024,59.64,0,0
460,0x06003F02,dungeons,0.4051,2.083,5.141,0,4,128,128,512,512,26.58,1,0
461,0x06004022,dungeons,0.405,4.576,11.3,0,4,128,256,512,1024,31.62,1,0
462,0x0600526C,props,0.4028,5.376,13.346,0,4,64,64,256,256,18.13,1,0
463,0x06005F1E,scenery,0.4024,0.997,2.477,0,4,128,256,512,1024,59.91,0,0
464,0x060043E6,props,0.4019,8.018,19.949,8,4,32,32,128,128,7.55,1,0
465,0x06003D95,dungeons,0.4019,2.741,6.821,0,4,128,128,512,512,37.31,1,0
466,0x06006A6E,dungeons,0.4018,1.704,4.239,0,4,512,512,2048,2048,23.32,1,0
467,0x06004573,props,0.401,1.822,4.542,0,4,128,64,512,256,2.09,1,0
468,0x060038FC,dungeons,0.4006,1.181,2.948,0,4,128,128,512,512,43.79,0,0
469,0x06003BC9,dungeons,0.4002,2.492,6.226,0,4,128,128,512,512,36.43,1,0
470,0x0600407B,scenery,0.3999,1.454,3.634,0,4,128,256,512,1024,39.81,0,0
471,0x060039C7,dungeons,0.3997,2.425,6.067,0,4,128,256,512,1024,42.79,1,0
472,0x060040BA,dungeons,0.3995,3.782,9.465,0,4,128,128,512,512,31.81,1,0
473,0x06003FBE,dungeons,0.3992,3.551,8.895,0,4,128,256,512,1024,27.74,1,0
474,0x06003B36,dungeons,0.3986,1.697,4.257,0,4,128,256,512,1024,46.58,1,0
475,0x06003907,dungeons,0.3985,2.778,6.972,0,4,128,256,512,1024,33.27,1,0
476,0x06003CB3,dungeons,0.3984,4.343,10.902,0,4,256,256,1024,1024,36.23,1,0
477,0x06003D43,dungeons,0.3982,3.985,10.007,0,4,128,128,512,512,36.44,1,0
478,0x06003DBF,props,0.3981,9.403,23.621,0,4,128,128,512,512,29.74,1,0
479,0x06003ED6,dungeons,0.3974,1.935,4.87,0,4,128,128,512,512,38.73,1,0
480,0x06003790,scenery,0.3969,3.272,8.244,0,2,512,512,1024,1024,32.91,1,0
481,0x06004010,creatures,0.3964,0.473,1.193,4,4,64,64,256,256,96.47,0,0
482,0x06003A17,creatures,0.3962,1.73,4.368,0,4,256,256,1024,1024,40.83,1,0
483,0x06003D97,dungeons,0.3948,0.579,1.467,0,4,128,128,512,512,56.85,0,0
484,0x06003E4A,dungeons,0.3942,2.859,7.252,0,4,128,128,512,512,38.08,1,0
485,0x06003B2E,dungeons,0.394,1.596,4.051,0,4,128,128,512,512,33.1,1,0
486,0x060047F5,props,0.394,2.133,5.414,0,4,128,64,512,256,5.34,1,0
487,0x06006A05,dungeons,0.3927,1.258,3.204,0,4,512,256,2048,1024,22.81,0,0
488,0x060047E8,props,0.392,2.096,5.346,0,4,128,64,512,256,7.31,1,0
489,0x06005073,props,0.3915,7.828,19.996,1,4,32,64,128,256,0.55,1,0
490,0x06003E9E,dungeons,0.3893,3.293,8.459,0,4,128,256,512,1024,32.55,1,0
491,0x06004FF1,doors,0.3887,0.797,2.049,3,4,128,64,512,256,49.51,0,0
492,0x0600441D,dungeons,0.3885,3.498,9.004,0,4,64,256,256,1024,40.4,1,0
493,0x060043F5,dungeons,0.388,1.056,2.722,0,4,256,256,1024,1024,48.42,0,0
494,0x06003D2C,dungeons,0.3865,1.623,4.2,0,4,128,128,512,512,44.62,1,0
495,0x06003791,scenery,0.3864,3.399,8.795,0,2,512,512,1024,1024,28.4,1,0
496,0x06006F87,scenery,0.386,4.234,10.969,0,2,512,512,1024,1024,17.99,1,0
497,0x06003983,dungeons,0.3856,1.94,5.031,0,4,128,128,512,512,37.67,1,0
498,0x06003E61,dungeons,0.3851,2.789,7.241,0,4,128,256,512,1024,42.8,1,0
499,0x06003D89,dungeons,0.385,2.443,6.345,0,4,128,256,512,1024,34.52,1,0
500,0x06006BDE,props,0.3846,1.036,2.695,0,4,256,256,1024,1024,4.61,0,0
501,0x060039C1,dungeons,0.3843,5.15,13.401,0,4,64,64,256,256,23.75,1,0
502,0x06003D91,dungeons,0.3835,2.709,7.062,0,4,128,128,512,512,34.99,1,0
503,0x06003902,dungeons,0.3824,2.289,5.986,0,4,128,256,512,1024,42.1,1,0
504,0x06003D64,dungeons,0.3818,1.007,2.637,0,4,128,128,512,512,39.79,0,0
505,0x060051A5,doors,0.3818,1.007,2.637,0,4,128,128,512,512,39.79,0,0
506,0x06003FEB,dungeons,0.3812,3.369,8.839,0,4,128,128,512,512,37.96,1,0
507,0x06003DF9,props,0.3795,3.922,10.335,0,4,32,32,128,128,2.93,1,0
508,0x06004092,props,0.379,3.157,8.331,0,4,32,32,128,128,-18.97,1,0
509,0x06003FCD,scenery,0.3785,4.877,12.884,0,4,128,128,512,512,40.12,1,0
510,0x06003C8B,dungeons,0.3783,2.482,6.561,0,4,128,256,512,1024,44.66,1,0
511,0x06003F00,dungeons,0.378,2.255,5.966,0,4,128,128,512,512,36.22,1,0
512,0x06004104,dungeons,0.3779,2.026,5.362,0,4,128,128,512,512,28.06,1,0
513,0x06003B2C,dungeons,0.3778,1.871,4.952,0,4,128,256,512,1024,41.98,1,0
514,0x060039CB,dungeons,0.3772,1.968,5.218,0,4,128,256,512,1024,25.19,1,0
515,0x06003CA0,dungeons,0.3772,2.143,5.681,0,4,512,512,2048,2048,35.55,1,0
516,0x060042BA,dungeons,0.3769,3.07,8.147,0,4,128,128,512,512,33.86,1,0
517,0x06003E1D,dungeons,0.3766,3.174,8.427,0,4,128,256,512,1024,52.59,1,0
518,0x06003FAB,dungeons,0.3762,4.369,11.612,0,4,256,256,1024,1024,22.81,1,0
519,0x060040B8,dungeons,0.3742,3.281,8.77,0,4,128,128,512,512,30.44,1,0
520,0x06006D6E,creatures,0.3742,5.496,14.688,0,4,512,512,2048,2048,15.35,1,0
521,0x06003EBA,dungeons,0.3741,2.169,5.798,0,4,128,128,512,512,35.16,1,0
522,0x06003E4E,dungeons,0.3737,3.097,8.288,0,4,128,256,512,1024,31.84,1,0
523,0x0600405F,dungeons,0.3729,1.569,4.208,0,4,512,512,2048,2048,40.69,1,0
524,0x06004061,dungeons,0.3718,1.412,3.797,0,4,512,512,2048,2048,57.28,0,0
525,0x06003E10,dungeons,0.3718,1.83,4.923,0,4,128,256,512,1024,36.23,1,0
526,0x06003CB5,dungeons,0.3713,3.7,9.964,0,4,256,256,1024,1024,21.99,1,0
527,0x06003963,dungeons,0.3701,1.102,2.978,0,4,128,128,512,512,61.52,0,0
528,0x06004581,props,0.37,1.889,5.105,4,4,128,64,512,256,7.48,1,0
529,0x06003959,dungeons,0.3696,0.873,2.363,0,4,256,256,1024,1024,46.91,0,0
530,0x06005A2F,props,0.3694,1.515,4.102,0,4,128,256,512,1024,86.23,1,0
531,0x06003AFD,doors,0.3688,1.916,5.193,0,4,128,128,512,512,46.62,1,0
532,0x060041C9,scenery,0.3685,2.54,6.894,0,4,128,256,512,1024,41.57,1,0
533,0x06005E37,props,0.3681,2.592,7.042,0,4,128,64,512,256,42.76,1,0
534,0x06005D68,props,0.368,2.43,6.602,0,4,128,256,512,1024,56.46,1,0
535,0x060039C5,dungeons,0.368,3.6,9.782,0,4,128,128,512,512,24.62,1,0
536,0x0600417B,dungeons,0.368,2.016,5.478,0,4,128,256,512,1024,53.36,1,0
537,0x06003ECB,dungeons,0.367,2.652,7.226,0,4,128,128,512,512,37.65,1,0
538,0x06005339,doors,0.3665,1.365,3.724,0,4,128,256,512,1024,69.2,0,0
539,0x06003E58,dungeons,0.3663,2.769,7.56,0,4,128,256,512,1024,30.54,1,0
540,0x06003AC8,scenery,0.3656,2.918,7.98,8,4,32,32,128,128,-21.01,1,0
541,0x06004102,dungeons,0.3656,0.636,1.741,0,4,256,256,1024,1024,51.83,0,0
542,0x0600475D,props,0.3651,1.751,4.796,0,4,128,64,512,256,5.34,1,0
543,0x06003F04,dungeons,0.365,2.063,5.652,0,4,128,128,512,512,28.7,1,0
544,0x06004253,dungeons,0.365,4.095,11.218,0,4,128,128,512,512,34.92,1,0
545,0x06003DB8,dungeons,0.3646,4.911,13.472,0,4,128,128,512,512,26.93,1,0
546,0x060048A8,dungeons,0.3643,6.587,18.079,0,4,256,256,1024,1024,20.05,1,0
547,0x0600395F,dungeons,0.3642,0.956,2.625,0,4,256,256,1024,1024,55.69,0,0
548,0x060070F6,creatures,0.364,2.853,7.838,0,4,256,256,1024,1024,27.07,1,0
549,0x06004177,dungeons,0.3634,1.726,4.75,0,4,128,128,512,512,41.25,1,0
550,0x060066E8,creatures,0.363,1.629,4.487,0,4,128,128,512,512,75.21,1,0
551,0x060048B8,dungeons,0.3629,4.018,11.071,0,4,128,128,512,512,25.61,1,0
552,0x0600405B,doors,0.3624,1.582,4.364,0,4,64,64,256,256,42.74,1,0
553,0x0600550B,props,0.3612,3.522,9.752,9,4,64,64,256,256,36.91,1,0
554,0x060047C4,props,0.361,2.243,6.214,0,4,128,64,512,256,4.43,1,0
555,0x06003985,doors,0.36,1.96,5.446,0,4,128,128,512,512,38.68,1,0
556,0x060039BB,dungeons,0.3599,2.576,7.158,0,4,128,256,512,1024,27.96,1,0
557,0x06003E6C,scenery,0.3599,3.351,9.311,4,4,64,128,256,512,16.56,1,0
558,0x060043A2,props,0.3598,3.304,9.183,4,4,32,64,128,256,49.62,1,0
559,0x0600480F,dungeons,0.3586,3.822,10.657,0,4,256,256,1024,1024,22.41,1,0
560,0x060043F3,creatures,0.3579,1.338,3.738,12,4,64,64,256,256,28.55,0,0
561,0x060043FB,dungeons,0.3569,0.442,1.238,1,4,512,512,2048,2048,59.98,0,0
562,0x0600410D,dungeons,0.3566,2.686,7.532,0,4,128,256,512,1024,35.66,1,0
563,0x06003D9D,dungeons,0.3565,2.765,7.755,0,4,128,128,512,512,36.71,1,0
564,0x060048E1,props,0.3557,1.334,3.751,0,4,128,128,512,512,33.5,0,0
565,0x0600641C,scenery,0.3553,3.081,8.672,12,4,32,256,128,1024,3.61,1,0
566,0x06006490,scenery,0.3552,1.793,5.047,0,2,512,512,1024,1024,32.38,1,0
567,0x06003B32,dungeons,0.3551,1.474,4.152,0,4,128,128,512,512,41.6,0,0
568,0x06003875,scenery,0.3542,2.239,6.323,0,4,128,256,512,1024,9.75,1,0
569,0x060038C3,doors,0.3538,7.667,21.67,0,4,64,128,256,512,17.51,1,0
570,0x06003D1F,dungeons,0.3536,2.152,6.085,1,4,128,256,512,1024,38.87,1,0
571,0x06004274,dungeons,0.3523,4.338,12.315,0,4,128,128,512,512,26.6,1,0
572,0x060039BF,dungeons,0.352,2.689,7.638,0,4,128,128,512,512,29.14,1,0
573,0x060040E0,scenery,0.3516,4.558,12.963,0,4,128,128,512,512,23.75,1,0
574,0x06007503,scenery,0.3515,4.704,13.381,4,2,512,512,1024,1024,-0.35,1,0
575,0x060041E5,scenery,0.351,5.949,16.949,0,4,128,128,512,512,36.46,1,0
576,0x060048A4,dungeons,0.3508,6.287,17.92,0,4,256,256,1024,1024,23.57,1,0
577,0x06003CB7,dungeons,0.3507,2.941,8.386,0,4,256,256,1024,1024,32.56,1,0
578,0x06004419,dungeons,0.3501,3.258,9.306,0,4,64,256,256,1024,32.73,1,0
579,0x060069D8,creatures,0.3496,1.432,4.096,0,4,256,256,1024,1024,31.38,0,0
580,0x06005E38,props,0.3494,5.364,15.351,0,4,128,128,512,512,15.82,1,0
581,0x06004911,dungeons,0.3494,3.651,10.451,0,4,64,128,256,512,48.42,1,0
582,0x06003C89,dungeons,0.3492,2.288,6.552,0,4,256,256,1024,1024,27.09,1,0
583,0x060043F9,dungeons,0.3485,1.063,3.049,0,4,512,512,2048,2048,35.54,0,0
584,0x06003EC4,scenery,0.3483,4.805,13.795,0,4,128,256,512,1024,36.5,1,0
585,0x06003B34,dungeons,0.3482,1.416,4.066,0,4,128,128,512,512,46.82,0,0
586,0x0600507B,props,0.348,5.531,15.894,0,4,32,64,128,256,8.15,1,0
587,0x06005A2A,props,0.3478,4.595,13.211,0,4,512,512,2048,2048,22.78,1,0
588,0x060070F8,creatures,0.3458,3.047,8.811,0,4,256,256,1024,1024,28.85,1,0
589,0x0600442D,dungeons,0.3455,4.809,13.919,0,4,32,32,128,128,36.41,1,0
590,0x060048B4,dungeons,0.3444,1.269,3.684,0,4,256,256,1024,1024,30.26,0,0
591,0x06003909,dungeons,0.3433,2.776,8.087,0,4,128,128,512,512,25.17,1,0
